deal_id,deal_amount,outcome,risk_score,win_probability,industry,sales_rep_id,cycle_bucket,risk_tier
D00001,4253,Won,55.3,44.7,SaaS,rep_22,Fast (0-30d),High Risk
D00002,3905,Won,54.2,45.8,SaaS,rep_7,Fast (0-30d),Medium Risk
D00003,10615,Lost,55.3,44.7,HealthTech,rep_5,Medium (30-60d),High Risk
D00004,4817,Won,54.3,45.7,FinTech,rep_18,Fast (0-30d),Medium Risk
D00005,45203,Lost,55.0,45.0,HealthTech,rep_2,Long (60-90d),Medium Risk
D00006,5714,Won,52.9,47.1,HealthTech,rep_12,Fast (0-30d),Medium Risk
D00007,12010,Won,54.9,45.1,SaaS,rep_9,Long (60-90d),Medium Risk
D00008,8525,Lost,54.7,45.3,HealthTech,rep_3,Very Long (90-120d),Medium Risk
D00009,5758,Lost,55.0,45.0,SaaS,rep_24,Very Long (90-120d),Medium Risk
D00010,3133,Won,55.7,44.3,HealthTech,rep_4,Medium (30-60d),High Risk
D00011,15668,Won,53.1,46.9,FinTech,rep_1,Fast (0-30d),Medium Risk
D00012,54522,Won,55.0,45.0,FinTech,rep_17,Medium (30-60d),Medium Risk
D00013,20074,Lost,54.8,45.2,FinTech,rep_16,Medium (30-60d),Medium Risk
D00014,31226,Won,52.9,47.1,SaaS,rep_3,Fast (0-30d),Medium Risk
D00015,47760,Won,54.0,46.0,EdTech,rep_23,Fast (0-30d),Medium Risk
D00016,11681,Lost,54.5,45.5,SaaS,rep_19,Long (60-90d),Medium Risk
D00017,2482,Lost,53.2,46.8,SaaS,rep_3,Fast (0-30d),Medium Risk
D00018,6677,Won,54.9,45.1,HealthTech,rep_14,Long (60-90d),Medium Risk
D00019,7972,Won,54.7,45.3,EdTech,rep_24,Long (60-90d),Medium Risk
D00020,11006,Won,54.1,45.9,Ecommerce,rep_3,Long (60-90d),Medium Risk
D00021,14658,Lost,54.8,45.2,FinTech,rep_13,Very Long (90-120d),Medium Risk
D00022,75444,Lost,56.7,43.3,Ecommerce,rep_22,Medium (30-60d),High Risk
D00023,6441,Lost,53.3,46.7,Ecommerce,rep_19,Fast (0-30d),Medium Risk
D00024,19062,Won,53.4,46.6,HealthTech,rep_19,Fast (0-30d),Medium Risk
D00025,6282,Lost,54.8,45.2,EdTech,rep_8,Very Long (90-120d),Medium Risk
D00026,80068,Lost,54.8,45.2,FinTech,rep_4,Medium (30-60d),Medium Risk
D00027,4001,Lost,56.6,43.4,EdTech,rep_18,Medium (30-60d),High Risk
D00028,3100,Lost,53.4,46.6,EdTech,rep_5,Fast (0-30d),Medium Risk
D00029,12325,Won,54.7,45.3,FinTech,rep_2,Medium (30-60d),Medium Risk
D00030,41178,Lost,56.2,43.8,Ecommerce,rep_18,Medium (30-60d),High Risk
D00031,5024,Lost,52.8,47.2,FinTech,rep_5,Fast (0-30d),Medium Risk
D00032,66357,Lost,54.8,45.2,HealthTech,rep_20,Medium (30-60d),Medium Risk
D00033,14745,Won,53.3,46.7,FinTech,rep_23,Fast (0-30d),Medium Risk
D00034,5770,Lost,55.5,44.5,HealthTech,rep_1,Medium (30-60d),High Risk
D00035,13753,Lost,52.7,47.3,FinTech,rep_11,Fast (0-30d),Medium Risk
D00036,65309,Won,55.8,44.2,SaaS,rep_14,Medium (30-60d),High Risk
D00037,90575,Lost,53.0,47.0,Ecommerce,rep_12,Fast (0-30d),Medium Risk
D00038,59363,Lost,57.0,43.0,Ecommerce,rep_22,Medium (30-60d),High Risk
D00039,42810,Won,54.3,45.7,Ecommerce,rep_10,Fast (0-30d),Medium Risk
D00040,18726,Lost,54.7,45.3,HealthTech,rep_15,Long (60-90d),Medium Risk
D00041,7438,Won,54.9,45.1,EdTech,rep_22,Fast (0-30d),Medium Risk
D00042,18015,Won,51.9,48.1,SaaS,rep_21,Fast (0-30d),Medium Risk
D00043,7374,Won,54.5,45.5,HealthTech,rep_8,Medium (30-60d),Medium Risk
D00044,89616,Lost,53.1,46.9,Ecommerce,rep_11,Fast (0-30d),Medium Risk
D00045,52406,Lost,55.1,44.9,SaaS,rep_25,Very Long (90-120d),High Risk
D00046,11841,Won,55.5,44.5,FinTech,rep_18,Long (60-90d),High Risk
D00047,9052,Won,56.2,43.8,Ecommerce,rep_18,Very Long (90-120d),High Risk
D00048,22560,Won,54.3,45.7,FinTech,rep_16,Medium (30-60d),Medium Risk
D00049,17883,Won,55.1,44.9,Ecommerce,rep_9,Very Long (90-120d),High Risk
D00050,19864,Lost,54.4,45.6,SaaS,rep_20,Very Long (90-120d),Medium Risk
D00051,10977,Won,54.5,45.5,HealthTech,rep_11,Long (60-90d),Medium Risk
D00052,12133,Won,55.6,44.4,SaaS,rep_24,Very Long (90-120d),High Risk
D00053,7339,Lost,53.4,46.6,SaaS,rep_1,Fast (0-30d),Medium Risk
D00054,15619,Won,54.7,45.3,SaaS,rep_20,Very Long (90-120d),Medium Risk
D00055,17433,Won,54.3,45.7,SaaS,rep_3,Long (60-90d),Medium Risk
D00056,17272,Lost,55.5,44.5,EdTech,rep_14,Very Long (90-120d),High Risk
D00057,9729,Won,55.3,44.7,HealthTech,rep_23,Very Long (90-120d),High Risk
D00058,77091,Lost,55.3,44.7,EdTech,rep_9,Very Long (90-120d),High Risk
D00059,17999,Lost,55.5,44.5,EdTech,rep_16,Medium (30-60d),High Risk
D00060,56211,Won,55.7,44.3,HealthTech,rep_17,Very Long (90-120d),High Risk
D00061,15800,Lost,54.8,45.2,EdTech,rep_3,Long (60-90d),Medium Risk
D00062,17068,Lost,54.9,45.1,SaaS,rep_24,Very Long (90-120d),Medium Risk
D00063,19817,Won,55.9,44.1,SaaS,rep_24,Medium (30-60d),High Risk
D00064,16595,Won,56.2,43.8,EdTech,rep_7,Long (60-90d),High Risk
D00065,3036,Lost,54.1,45.9,HealthTech,rep_10,Fast (0-30d),Medium Risk
D00066,5608,Lost,54.6,45.4,FinTech,rep_16,Medium (30-60d),Medium Risk
D00067,39555,Lost,54.4,45.6,HealthTech,rep_3,Long (60-90d),Medium Risk
D00068,16561,Lost,55.1,44.9,SaaS,rep_10,Long (60-90d),High Risk
D00069,18248,Won,56.1,43.9,HealthTech,rep_6,Very Long (90-120d),High Risk
D00070,17729,Won,53.5,46.5,EdTech,rep_8,Fast (0-30d),Medium Risk
